# Node, all count, hit count, without preloading, with preloading
99, 201, 6, 181960, 174123
100, 202, 6, 182055, 174218
100, 203, 6, 182850, 175013
100, 204, 6, 183350, 175513
100, 205, 6, 183907, 176070
100, 206, 6, 184411, 176574
100, 207, 6, 185962, 178125
100, 208, 7, 187134, 178185
101, 209, 7, 188941, 179992
101, 210, 7, 192785, 183836
102, 211, 7, 194539, 185590
103, 212, 7, 194625, 185676
104, 213, 7, 194674, 185725
105, 214, 7, 194725, 185776
105, 215, 7, 194754, 185805
106, 216, 7, 195660, 186711
107, 217, 7, 195699, 186750
107, 218, 7, 195787, 186838
108, 219, 7, 198097, 189148
109, 220, 7, 198956, 190007
110, 221, 7, 199791, 190842
110, 222, 7, 200141, 191192
111, 223, 7, 200470, 191521
111, 224, 7, 200691, 191742
112, 225, 7, 201354, 192405
113, 226, 7, 202191, 193242
114, 227, 7, 206529, 197580
115, 228, 7, 208913, 199964
115, 229, 7, 209681, 200732
115, 230, 7, 209703, 200754
115, 231, 8, 211624, 200814
116, 232, 8, 214411, 203601
116, 233, 8, 215672, 204862
117, 234, 8, 216895, 206085
117, 235, 8, 218040, 207230
118, 236, 8, 219954, 209144
118, 237, 8, 220118, 209308
118, 238, 8, 220422, 209612
118, 239, 8, 220477, 209667
118, 240, 8, 223359, 212549
118, 241, 8, 225303, 214493
119, 242, 8, 226255, 215445
120, 243, 8, 226289, 215479
121, 244, 8, 226439, 215629
122, 245, 8, 227368, 216558
122, 246, 8, 228316, 217506
122, 247, 8, 228350, 217540
123, 248, 8, 229188, 218378
123, 249, 8, 229840, 219030
123, 250, 8, 230686, 219876
123, 251, 8, 231342, 220532
123, 252, 8, 231415, 220605
124, 253, 8, 232195, 221385
124, 254, 8, 232567, 221757
124, 255, 8, 233035, 222225
124, 256, 8, 235003, 224193
124, 257, 8, 235379, 224569
124, 258, 8, 235747, 224937
124, 259, 8, 236192, 225382
124, 260, 8, 236542, 225732
125, 261, 8, 237461, 226651
125, 262, 8, 237499, 226689
126, 263, 8, 239379, 228569
126, 264, 8, 240660, 229850
127, 265, 8, 242504, 231694
127, 266, 8, 243727, 232917
127, 267, 8, 245522, 234712
127, 268, 8, 245563, 234753
128, 269, 8, 247123, 236313
128, 270, 8, 247175, 236365
128, 271, 8, 249040, 238230
128, 272, 8, 250124, 239314
129, 273, 8, 251918, 241108
129, 274, 8, 253065, 242255
130, 275, 8, 256026, 245216
130, 276, 8, 257115, 246305
130, 277, 8, 258793, 247983
130, 278, 9, 260089, 248043
131, 279, 9, 262750, 250704
131, 280, 9, 264235, 252189
132, 281, 9, 266214, 254168
132, 282, 9, 267479, 255433
132, 283, 10, 268698, 255493
132, 284, 10, 268891, 255686
133, 285, 10, 269054, 255849
133, 286, 10, 269205, 256000
134, 287, 10, 269391, 256186
135, 288, 10, 269553, 256348
136, 289, 10, 269724, 256519
137, 290, 10, 269903, 256698
138, 291, 10, 270073, 256868
139, 292, 10, 270255, 257050
140, 293, 10, 270430, 257225
141, 294, 10, 270591, 257386
142, 295, 10, 270784, 257579
143, 296, 10, 270956, 257751
143, 297, 10, 270991, 257786
143, 298, 10, 271651, 258446
143, 299, 11, 272160, 258506
143, 300, 12, 272589, 258566
143, 301, 13, 272987, 258626
144, 302, 13, 275594, 261233
145, 303, 13, 277890, 263529
145, 304, 13, 278043, 263682
146, 305, 13, 279260, 264899
147, 306, 13, 279984, 265623
148, 307, 13, 283770, 269409
149, 308, 13, 285357, 270996
149, 309, 13, 286286, 271925
149, 310, 13, 287168, 272807
149, 311, 13, 287731, 273370
150, 312, 13, 289749, 275388
151, 313, 13, 291471, 277110
151, 314, 13, 292825, 278464
151, 315, 13, 294253, 279892
152, 316, 13, 295764, 281403
153, 317, 13, 297494, 283133
154, 318, 13, 299204, 284843
154, 319, 13, 299762, 285401
154, 320, 13, 300102, 285741
154, 321, 13, 300153, 285792
154, 322, 13, 301887, 287526
154, 323, 13, 301921, 287560
154, 324, 13, 302769, 288408
154, 325, 13, 302803, 288442
154, 326, 13, 303652, 289291
154, 327, 13, 304286, 289925
154, 328, 13, 305267, 290906
154, 329, 13, 305327, 290966
154, 330, 13, 305780, 291419
154, 331, 13, 306106, 291745
154, 332, 13, 306498, 292137
154, 333, 13, 306875, 292514
154, 334, 13, 307217, 292856
154, 335, 13, 307254, 292893
154, 336, 14, 308492, 292953
154, 337, 14, 309752, 294213
154, 338, 14, 311052, 295513
155, 339, 14, 314373, 298834
155, 340, 14, 315802, 300263
156, 341, 14, 317595, 302056
156, 342, 14, 319608, 304069
157, 343, 14, 320948, 305409
157, 344, 14, 322238, 306699
157, 345, 14, 323649, 308110
157, 346, 15, 326063, 308170
158, 347, 15, 328477, 310584
158, 348, 15, 329688, 311795
159, 349, 15, 332102, 314209
159, 350, 15, 337688, 319795
159, 351, 15, 339680, 321787
159, 352, 16, 340871, 321847
160, 353, 16, 343749, 324725
161, 354, 16, 344692, 325668
162, 355, 16, 345017, 325993
163, 356, 16, 345305, 326281
164, 357, 16, 345618, 326594
165, 358, 16, 346764, 327740
166, 359, 16, 347334, 328310
166, 360, 16, 349733, 330709
