# Node, all count, hit count, without preloading, with preloading
2, 2, 0, 2148, 2148
3, 3, 0, 3197, 3197
4, 4, 0, 5102, 5102
5, 5, 0, 7755, 7755
6, 6, 0, 8918, 8918
7, 7, 0, 9915, 9915
7, 8, 0, 11319, 11319
8, 9, 0, 12418, 12418
9, 10, 0, 13456, 13456
10, 11, 0, 14473, 14473
11, 12, 0, 15553, 15553
12, 13, 0, 16936, 16936
13, 14, 0, 18083, 18083
14, 15, 0, 19137, 19137
15, 16, 0, 20170, 20170
16, 17, 0, 21150, 21150
17, 18, 0, 22445, 22445
18, 19, 0, 23566, 23566
19, 20, 0, 24800, 24800
20, 21, 0, 25934, 25934
21, 22, 0, 26910, 26910
22, 23, 0, 28238, 28238
23, 24, 0, 29256, 29256
24, 25, 0, 30660, 30660
25, 26, 0, 32465, 32465
26, 27, 0, 36351, 36351
26, 28, 0, 37870, 37870
27, 29, 0, 41002, 41002
27, 30, 0, 42257, 42257
28, 31, 0, 44314, 44314
29, 32, 0, 45582, 45582
30, 33, 0, 46856, 46856
31, 34, 0, 46874, 46874
32, 35, 0, 46884, 46884
33, 36, 0, 47356, 47356
34, 37, 0, 47378, 47378
35, 38, 0, 47387, 47387
35, 39, 0, 47399, 47399
35, 40, 0, 47409, 47409
36, 41, 0, 47420, 47420
36, 42, 0, 48759, 48759
37, 43, 0, 50322, 50322
38, 44, 0, 51854, 51854
39, 45, 0, 53183, 53183
40, 46, 0, 53655, 53655
41, 47, 0, 53721, 53721
42, 48, 0, 56000, 56000
43, 49, 0, 56920, 56920
44, 50, 0, 57872, 57872
45, 51, 0, 59002, 59002
46, 52, 0, 60187, 60187
47, 53, 0, 60220, 60220
47, 54, 0, 61317, 61317
48, 55, 0, 64446, 64446
48, 56, 0, 65734, 65734
49, 57, 0, 67587, 67587
49, 58, 0, 68818, 68818
50, 59, 0, 69851, 69851
51, 60, 0, 71626, 71626
51, 61, 0, 72694, 72694
52, 62, 0, 74253, 74253
52, 63, 0, 76384, 76384
53, 64, 0, 77637, 77637
53, 65, 0, 81461, 81461
53, 66, 0, 82658, 82658
53, 67, 1, 83850, 82718
53, 68, 1, 85556, 84424
53, 69, 2, 86754, 84484
53, 70, 3, 87981, 84544
53, 71, 3, 90500, 87063
54, 72, 3, 92504, 89067
55, 73, 3, 92760, 89323
56, 74, 3, 92824, 89387
57, 75, 3, 92877, 89440
57, 76, 3, 92926, 89489
57, 77, 3, 92948, 89511
57, 78, 3, 94388, 90951
58, 79, 3, 96786, 93349
58, 80, 3, 98070, 94633
58, 81, 3, 99189, 95752
59, 82, 3, 100539, 97102
59, 83, 3, 101725, 98288
60, 84, 3, 103531, 100094
60, 85, 3, 104572, 101135
61, 86, 3, 105659, 102222
62, 87, 3, 107304, 103867
62, 88, 3, 108601, 105164
63, 89, 3, 109935, 106498
64, 90, 3, 111649, 108212
64, 91, 3, 112969, 109532
65, 92, 3, 114544, 111107
65, 93, 3, 115656, 112219
66, 94, 3, 116922, 113485
67, 95, 3, 118508, 115071
67, 96, 3, 119773, 116336
68, 97, 3, 121272, 117835
68, 98, 3, 122308, 118871
69, 99, 3, 123835, 120398
69, 100, 3, 125175, 121738
70, 101, 3, 126674, 123237
70, 102, 3, 128235, 124798
70, 103, 3, 129465, 126028
71, 104, 3, 130650, 127213
71, 105, 3, 132666, 129229
72, 106, 3, 134276, 130839
72, 107, 3, 135538, 132101
72, 108, 3, 135555, 132118
73, 109, 3, 135831, 132394
74, 110, 3, 137400, 133963
75, 111, 3, 137965, 134528
76, 112, 3, 138509, 135072
76, 113, 3, 139090, 135653
77, 114, 3, 140610, 137173
77, 115, 3, 141178, 137741
78, 116, 3, 142608, 139171
78, 117, 3, 142627, 139190
78, 118, 3, 144242, 140805
78, 119, 3, 145620, 142183
78, 120, 3, 145931, 142494
78, 121, 3, 147212, 143775
78, 122, 3, 148515, 145078
78, 123, 3, 150294, 146857
78, 124, 3, 151979, 148542
78, 125, 3, 153701, 150264
78, 126, 3, 154991, 151554
78, 127, 3, 156993, 153556
78, 128, 3, 158511, 155074
78, 129, 3, 159842, 156405
78, 130, 3, 161138, 157701
78, 131, 3, 162520, 159083
78, 132, 3, 164196, 160759
78, 133, 3, 166280, 162843
78, 134, 3, 167342, 163905
78, 135, 3, 168684, 165247
78, 136, 3, 170772, 167335
78, 137, 4, 171382, 167395
78, 138, 4, 172440, 168453
78, 139, 4, 172459, 168472
78, 140, 4, 172494, 168507
78, 141, 4, 172671, 168684
79, 142, 4, 172811, 168824
80, 143, 4, 176103, 172116
80, 144, 4, 176118, 172131
80, 145, 4, 177555, 173568
81, 146, 4, 179477, 175490
81, 147, 4, 181169, 177182
81, 148, 4, 181951, 177964
81, 149, 5, 182515, 178024
81, 150, 6, 183433, 178084
81, 151, 6, 184066, 178717
82, 152, 6, 185175, 179826
82, 153, 6, 185360, 180011
83, 154, 6, 185818, 180469
84, 155, 6, 186559, 181210
84, 156, 6, 186576, 181227
85, 157, 6, 187161, 181812
85, 158, 6, 187494, 182145
85, 159, 6, 187842, 182493
86, 160, 6, 187875, 182526
87, 161, 6, 187891, 182542
88, 162, 6, 191228, 185879
89, 163, 6, 191273, 185924
90, 164, 6, 193483, 188134
90, 165, 6, 194507, 189158
91, 166, 6, 195498, 190149
91, 167, 6, 195741, 190392
91, 168, 6, 197281, 191932
91, 169, 6, 199270, 193921
91, 170, 6, 199980, 194631
92, 171, 6, 200055, 194706
92, 172, 6, 200523, 195174
92, 173, 6, 200804, 195455
92, 174, 6, 200843, 195494
92, 175, 6, 201582, 196233
92, 176, 6, 201601, 196252
92, 177, 6, 201657, 196308
92, 178, 6, 202405, 197056
92, 179, 6, 203194, 197845
92, 180, 6, 204242, 198893
93, 181, 6, 207617, 202268
94, 182, 6, 208418, 203069
95, 183, 6, 209642, 204293
95, 184, 6, 210097, 204748
95, 185, 6, 210483, 205134
96, 186, 6, 210970, 205621
96, 187, 6, 211220, 205871
97, 188, 6, 213544, 208195
97, 189, 6, 213866, 208517
98, 190, 6, 217346, 211997
99, 191, 6, 217528, 212179
100, 192, 6, 217602, 212253
100, 193, 6, 218139, 212790
101, 194, 6, 218200, 212851
102, 195, 6, 218976, 213627
102, 196, 6, 219643, 214294
102, 197, 6, 219715, 214366
103, 198, 6, 219821, 214472
103, 199, 6, 219961, 214612
103, 200, 6, 220037, 214688
103, 201, 6, 220304, 214955
104, 202, 6, 220396, 215047
104, 203, 6, 220538, 215189
104, 204, 6, 220664, 215315
104, 205, 6, 220767, 215418
104, 206, 6, 221435, 216086
105, 207, 6, 221513, 216164
105, 208, 6, 222180, 216831
106, 209, 6, 222263, 216914
107, 210, 6, 222583, 217234
108, 211, 6, 222782, 217433
108, 212, 6, 222948, 217599
108, 213, 6, 223126, 217777
108, 214, 6, 223209, 217860
108, 215, 6, 223333, 217984
108, 216, 6, 223450, 218101
109, 217, 6, 223710, 218361
110, 218, 6, 224222, 218873
111, 219, 6, 224650, 219301
112, 220, 6, 226223, 220874
112, 221, 6, 226933, 221584
112, 222, 6, 226983, 221634
112, 223, 6, 227046, 221697
112, 224, 6, 227232, 221883
112, 225, 6, 227419, 222070
112, 226, 6, 227442, 222093
113, 227, 6, 229921, 224572
113, 228, 6, 232762, 227413
114, 229, 6, 234188, 228839
114, 230, 6, 235576, 230227
115, 231, 6, 237501, 232152
115, 232, 6, 238802, 233453
116, 233, 6, 240312, 234963
116, 234, 6, 241381, 236032
117, 235, 6, 243084, 237735
117, 236, 6, 246518, 241169
117, 237, 6, 248041, 242692
117, 238, 6, 249412, 244063
117, 239, 6, 250837, 245488
117, 240, 6, 252333, 246984
118, 241, 6, 253532, 248183
118, 242, 6, 254907, 249558
119, 243, 6, 256358, 251009
119, 244, 6, 257992, 252643
120, 245, 6, 261323, 255974
120, 246, 6, 262811, 257462
120, 247, 6, 264168, 258819
120, 248, 6, 265494, 260145
120, 249, 6, 266673, 261324
120, 250, 6, 270694, 265345
120, 251, 6, 271010, 265661
120, 252, 6, 272097, 266748
120, 253, 6, 273490, 268141
120, 254, 7, 275828, 268201
120, 255, 7, 277262, 269635
121, 256, 7, 278710, 271083
122, 257, 7, 280630, 273003
122, 258, 7, 281889, 274262
123, 259, 7, 283292, 275665
124, 260, 7, 284915, 277288
124, 261, 7, 286110, 278483
125, 262, 7, 287286, 279659
126, 263, 7, 288896, 281269
126, 264, 7, 290023, 282396
127, 265, 7, 291150, 283523
127, 266, 7, 292600, 284973
128, 267, 7, 294462, 286835
128, 268, 7, 295628, 288001
128, 269, 8, 297288, 288061
128, 270, 8, 298655, 289428
128, 271, 8, 299987, 290760
128, 272, 8, 301420, 292193
128, 273, 8, 301727, 292500
129, 274, 8, 303184, 293957
129, 275, 8, 304316, 295089
130, 276, 8, 306053, 296826
130, 277, 8, 307453, 298226
130, 278, 8, 308796, 299569
131, 279, 8, 310253, 301026
131, 280, 8, 311604, 302377
132, 281, 8, 314380, 305153
132, 282, 8, 315801, 306574
132, 283, 8, 317665, 308438
133, 284, 8, 319581, 310354
133, 285, 8, 321032, 311805
